Channel ID,Channel Name,Members,Type,Bot Member
C09FVF6UQ4T,proj-gtm-2-0-system,137,public,yes
C0AEAJP1HL3,proj-harbor-working-group,53,public,yes
C07LTG2JNTV,proj-help-center-search,21,public,yes
C0B49P0ACKE,proj-hex-transition,29,public,yes
C096P9B4SHH,proj-home-shortcuts,36,public,yes
C07MTKXULG7,proj-honeycomb,110,public,yes
C06JCK8B891,proj-horizon-1-new-page,24,public,yes
C0A00BJ9DBJ,proj-image-gen,124,public,yes
C0ALHK45TLJ,proj-improve-frontend-observability,37,public,yes
C073YTVRNJW,proj-in-app-sales-collab,28,public,yes
C0807TG96NL,proj-in-app-upgrade-system,26,public,yes
C0ANG5T0JJ2,proj-inbox-tools,33,public,yes
C0AA6CJB9GA,proj-incident-io-implementation,21,public,yes
C09SBMX2A5R,proj-index-html,42,public,yes
C097UBF955M,proj-infra-console,100,public,yes
C06S33EV83G,proj-interactive-demo-tool,24,public,yes
C08DMVC70TZ,proj-ip-restrictions,51,public,yes
C0AJ1A3AQG3,proj-italian-launch,45,public,yes
C06FUE88ZHC,proj-japan-kickoff,34,public,yes
C0AN0JJHNEQ,proj-japanplaybook,32,public,yes
C05P57LSJF6,proj-jira-sync,151,public,yes
C0ADF5PFQ5B,proj-joystick,35,public,yes
C04PVNZHPB5,proj-jp-ai-usecases,22,public,yes
C0B3DSQP99U,proj-jp-aiexpo-june2026,36,public,yes
C090ADGGLTW,proj-jp-aws-summit-japan-2025,32,public,yes
C0ATYBC6LFQ,proj-jp-developer-platform-launch,23,public,yes
C0ACA9YH717,proj-jp-erica-execbreakfast-event,34,public,yes
C092DH64TEJ,proj-jp-findy-developer-productivity-conference2025,22,public,yes
C09LM8WT8E7,proj-jp-hands-on-seminar,32,public,yes
C0AMB21DMTM,proj-jp-itweek-2026-spring,52,public,yes
C08P1HCMJ76,proj-jp-ivskyoto,23,public,yes
C0AUT2SN6BD,proj-jp-ms-lockin,21,public,yes
C092S9U6YQ5,proj-jp-mwn-2025,50,public,yes
C03BCV0N1FE,proj-jp-onboarding,23,public,yes
C08RBG54ARZ,proj-jp-social-listening,22,public,yes
C072EHEAD6E,proj-just-in-time,36,public,yes
C04KQ6BDE1F,proj-layouts,144,public,yes
C07QBKG9R6X,proj-legal-holds,35,public,yes
C08ANRFD0CE,proj-lenny-bundle,51,public,yes
C09BGU4B05C,proj-library,125,public,yes
C094ZDA9HNG,proj-lifecycle-data,22,public,yes
C0ARQLSQX1R,proj-lifescience,25,public,yes
C09K2RL8ZA4,proj-lighthouse-demo-se,22,public,yes
C08CXMWFLAG,proj-linkedin-bundle,49,public,yes
C07MXSA6QTH,proj-local-first,118,public,yes
C0AUW8YUCLW,proj-lore-notion-as-memory-layer,27,public,yes
C09HH0LTQBW,proj-mail-agent,112,public,yes
C094KP5R13Q,proj-mail-to-notion,33,public,yes
C072Y7G413K,proj-make-with-notion-epd,128,public,yes
C09104Q5NQN,proj-maps,62,public,yes
C07G5E46PFD,proj-markdown-page-builder,45,public,yes
C08BCJ60YGN,proj-marketing-confluence-compete-campaign,41,public,yes
C0A7EGZ3YD8,proj-marketing-site-cro,35,public,yes
C04L47ZAV5G,proj-marketplace,212,public,yes
C07U1HLEX9U,proj-marketplace-consulting,89,public,yes
C0A2CGV5L8K,proj-marketplace-custom-agents,63,public,yes
C06SSKLKCRF,proj-marketplace-integrations,54,public,yes
C03E657NV6Y,proj-marketplace-xfn,67,public,yes
C099Y530DST,proj-mdm,43,public,yes
C09R8PLE24V,proj-memcached-reliability,31,public,yes
C084XDR18KB,proj-messagestore-reliability,22,public,yes
C06EJ81KT18,proj-messaging-system,126,public,yes
C095FF9LNRF,proj-mission-control,38,public,yes
C0A8DQ6FH1T,proj-mobile-ai-tooling,26,public,yes
C0AA35NMVP0,proj-mobile-custom-agents,49,public,yes
C0B2WFMKZLK,proj-mobile-data-insights,32,public,yes
C08H2D1T03T,proj-mobile-native-editor,56,public,yes
C09H67493AS,proj-mobile-native-editor-feedback,40,public,yes
C09KSDYHHR9,proj-mobile-navigation-redesign,33,public,yes
C0A0USKCSHE,proj-mobile-vision,54,public,yes
C06NQ84AGE7,proj-money-paidseathighwatermark,25,public,yes
C07FSRGPFH6,proj-money-purchase-request-flows,22,public,yes
C07T4QNCQH2,proj-msft-sso,22,public,yes
C07FQ3B4H4Z,proj-multi-app-ux,41,public,yes
C06S2FGKTD4,proj-multi-cell-id-schema,27,public,yes
C04MD5WKNCW,proj-my-tasks,37,public,yes
C03PSU62H36,proj-nds,177,public,yes
C098AV4PJUT,proj-nds-internal,38,public,yes
C07G5DRQNLT,proj-new-help-center,25,public,yes
C09RWH2G48P,proj-new-year-2026,28,public,yes
C0B693B6GMN,proj-no-more-webflow,22,public,yes
C09LR95UG66,proj-notion-agents-sdk,80,public,yes
C08E930NM0V,proj-notion-ai-for-work,217,public,yes
C08UB6TJ0TF,proj-notion-codegen-bot,32,public,yes
C09U56R8QD9,proj-notion-codeownership,33,public,yes
C09MTG48F9C,proj-notion-com-migration,228,public,yes
C09A73TRJKS,proj-notion-for-security-teams,24,public,yes
C0APTK36JH1,proj-notion-for-shopify,27,public,yes
C0ARJE3N7GT,proj-notion-foundry,87,public,yes
C09MX9RMP29,proj-notion-infra-as-code,142,public,yes
C08JM405PTJ,proj-notion-mcp,307,public,yes
C0ASUSJPF1T,proj-notion-os,35,public,yes
C0AT4ST0474,proj-notion-reliability-report,28,public,yes
C08D19474SC,proj-notion-setup-sessions-ops,185,public,yes
C05TY7E421F,proj-notion-sites,205,public,yes
C06J5P45YM6,proj-notion-slides-hackathon,24,public,yes
C09FBCTSKGE,proj-notion-way,108,public,yes
C08MD6BPSPL,proj-on-prem-embeddings,37,public,yes
C097WJGRYG4,proj-oom-tools-for-reliability,33,public,yes
C09T2DG7MK9,proj-opal-migration,23,public,yes
C083Z7N753J,proj-openai-story-collab,35,public,yes
C08KUHU83Q9,proj-opfs-page-cache,21,public,yes
C0741MKGDHR,proj-paper-cuts-push,24,public,yes
C08PFM2HR32,proj-partner-program-launch-2025,63,public,yes
C08SUEPRQE8,proj-partner-program-localization,34,public,yes
C0ALREVMEKZ,proj-partner-tech,35,public,yes
C06380C4GKA,proj-passkeys,37,public,yes
C0AU9P18RRB,proj-patch-all-exposed-critical-infra-vulns,21,public,yes
C06EMTV9649,proj-pdf-import,33,public,yes
C083L17CF8U,proj-people-primitive,128,public,yes
C01Q263DEG3,proj-perf,45,public,yes
C07FREY9547,proj-perf-data-insights,34,public,yes
C09GLE1CCBT,proj-performance-marketing,50,public,yes
C0ACTSP6SSE,proj-personalization,24,public,yes
C0ACRFWTG05,proj-plan-mode,62,public,yes
C0B30V622FP,proj-plus-deprecation-test,24,public,yes
C0APR3GH9B8,proj-pnpm,30,public,yes
C0ABZJQDKTN,proj-poc-prompt-injection-guardrail-vendors,21,public,yes
C08TL3WMRBM,proj-polarsignals-internal,31,public,yes
C05LD5ZA75Z,proj-portrait-generator,48,public,yes
C0ADKJ1RS74,proj-presentation-mode,48,public,yes
C03RU8370JC,proj-pricing,178,public,yes
C08SY7FFWKD,proj-pricing-ekm,26,public,yes
C07EKC8DJ8J,proj-pricing-mobile,35,public,yes
C07KNTEFMCY,proj-pricing-offers,37,public,yes
C0743TXSP4L,proj-pricing-plusprice,38,public,yes
C09U7DLL212,proj-pricing-tools-for-ubp,31,public,yes
C08UUUWCXK5,proj-pricing-usage,205,public,yes
C06THUB0PTR,proj-private-api-abuse,43,public,yes
C09NANKF0HZ,proj-prod-and-dev-data-access,53,public,yes
C0AHYLA6PJT,proj-product-on-the-website,24,public,yes
C07TC5RJRD4,proj-protect-children,27,public,yes
C0AJX3XGL9J,proj-public-api-versions,23,public,yes
C0AR9JV1V3N,proj-publicly-used-private-apis,23,public,yes
C09UQBW9GQ0,proj-queue-2-0,45,public,yes
C09QRA6PTHU,proj-rds-backups,23,public,yes
C08LJ2B5SF6,proj-react-performance,35,public,yes
C08UDSKNAP5,proj-referral-program,24,public,yes
C099B1M0L4S,proj-reimagine-onboarding,41,public,yes
C0885SAA95E,proj-relations-and-rollups,53,public,yes
C08G8FXPR25,proj-reliability-guardrails,54,public,yes
C08TBFRG1M0,proj-research-mode-feedback,28,public,yes
C08PK1JG4TX,proj-restricted-members,71,public,yes
C0AM5GAT6S2,proj-rl-environment,30,public,yes
C08U5BEPN4D,proj-rtl,69,public,yes
C08289YCPL0,proj-rtl-feedback,37,public,yes
C08NP52BLKB,proj-sales-automation,38,public,yes
C07CB68SZCG,proj-salesforce-integration,151,public,yes
C09A9UH20RL,proj-salesforce-sync-feedback,23,public,yes
C09RNNNT08Y,proj-salestino,113,public,yes
C092EBJSHGS,proj-salestino-extension,87,public,yes
C08L92B1S4C,proj-samsung-preload,47,public,yes
C0AA5S11YUX,proj-sandbox,33,public,yes
C09JYSCHE3F,proj-search-modal-v3,40,public,yes
C08ALSW1PB9,proj-search-reindexing-architecture,25,public,yes
C09G75ACZL5,proj-securing-ai,156,public,yes
C0APX8PAM7D,proj-securing-base-images,21,public,yes
C0486059BUM,proj-segmentation-2024,24,public,yes
C026YT33P88,proj-seo,77,public,yes
C09A2V3802K,proj-seo-internal,30,public,yes
C0AEGMW8CQZ,proj-server-previews,21,public,yes
C08U8K4N3DG,proj-setup-cell3-and-cell4,60,public,yes
C074GUM1NL8,proj-share-menu-cleanup,30,public,yes
C0A213Y1KT3,proj-sharing-permission-glow-up,22,public,yes
C093190GJ3F,proj-sidebar-performance,35,public,yes
C0AT8REPYCR,proj-signal-2-ship,22,public,yes
C0ACU8GHF47,proj-single-sidebar,29,public,yes
C0B5LR4D2PQ,proj-skills-gardening-at-scale,32,public,yes
C09SCJ72LTB,proj-slack-custom-agents,112,public,yes
C04CX0R0ZCP,proj-slack-integration,78,public,yes
C09P2945N3S,proj-slippery-slope,209,public,yes
C0A2ABAFRNJ,proj-slos,121,public,yes
C0A8P1F9E4Q,proj-software-lab,446,public,yes
C0ADQ8X3STZ,proj-software-lab-internal,73,public,yes
C07DQHLC66T,proj-solutions-pod,94,public,yes
C08EKRDK606,proj-splashplatform,29,public,yes
C0B5CL41ZDK,proj-ss-metronome,23,public,yes
C0A00SLKZPG,proj-standalone-ai-app,220,public,yes
C091R1MFAMC,proj-startup-app-revamp,24,public,yes
C09001F0UGM,proj-streamlined-onboarding-journeys,33,public,yes
C06529YU6RX,proj-student-orgs,36,public,yes
C08RFDQFB7E,proj-tab-unloading,22,public,yes
C04QSF5A60G,proj-talentbook-jp,35,public,yes
C08C81NSSQ7,proj-tatami-design-system,28,public,yes
C0A6RPNREMC,proj-teams-in-notion,52,public,yes
C08QAHC2B9A,proj-teamspace-permissions-api,22,public,yes
C0AN39FQ5FD,proj-think-together,66,public,yes
C0B12THUFGR,proj-timeline,53,public,yes
C093A37TU74,proj-tool-proxy,50,public,yes
C09NSHN5Y3C,proj-tsgo-in-ides-feedback,39,public,yes
C0AMG4XMPTR,proj-types-exploration,38,public,yes
C0AU1PCATDE,proj-ubp-feedback,29,public,yes
C0AANUYQQ0J,proj-ubp-internal-dash,24,public,yes
C09KA0TRL7L,proj-unboxing,141,public,yes
C094W082EKV,proj-unified-integrations,58,public,yes
C0ALKFTH0CA,proj-unify-domain-purchases,30,public,yes
C06HRQKN75G,proj-universal-qna-alerts,29,public,yes
C09EM83B3JA,proj-update-browser-extension,34,public,yes
C07K1TDU87P,proj-use-case-labeling,24,public,yes
C0AQ6EM4599,proj-use-case-library,48,public,yes
C09RN8URGSU,proj-vdi,35,public,yes
C08UERA1PGE,proj-verified-dashboards,21,public,yes
C09QWKGNK7S,proj-version-history,65,public,yes
C089DA3M8K1,proj-viral-loops,62,public,yes
C09KE8L2SCD,proj-webinars-revamp,21,public,yes
C0AR2TPKS1K,proj-website-chat,33,public,yes
C02J25ACJJ1,proj-whats-new,100,public,yes
C0AMMPVFP89,proj-wink,49,public,yes
C09TYPT4P7Y,proj-workers-feedback,153,public,yes
C06FMSFLVNJ,proj-workflow-template-packaging,93,public,yes
C08TVQNNWPN,proj-workspace-auth,56,public,yes
C08920PPVJM,proj-workspace-migration,62,public,yes
